customer_id,name,gender,age,city,registration_date
C0001,Customer 0001,Male,41,Rajshahi,2025-06-08
C0002,Customer 0002,Female,52,Dhaka,2024-11-08
C0003,Customer 0003,Female,43,Dhaka,2024-02-18
C0004,Customer 0004,Male,54,Gazipur,2024-04-27
C0005,Customer 0005,Female,55,Rajshahi,2024-02-23
C0006,Customer 0006,Male,38,Rangpur,2025-10-11
C0007,Customer 0007,Female,57,Chattogram,2025-07-18
C0008,Customer 0008,Female,56,Khulna,2024-02-13
C0009,Customer 0009,Male,38,Dhaka,2024-02-22
C0010,Customer 0010,Male,27,Sylhet,2025-08-08
C0011,Customer 0011,Male,55,Dhaka,2025-07-11
C0012,Customer 0012,Female,21,Mymensingh,2025-06-08
C0013,Customer 0013,Female,37,Dhaka,2025-11-07
C0014,Customer 0014,Male,34,Dhaka,2024-04-11
C0015,Customer 0015,Male,24,Chattogram,2025-02-01
C0016,Customer 0016,Female,21,Chattogram,2024-05-17
C0017,Customer 0017,Female,46,Barishal,2025-11-05
C0018,Customer 0018,Female,31,Rangpur,2025-01-21
C0019,Customer 0019,Male,20,Sylhet,2024-04-20
C0020,Customer 0020,Male,41,Dhaka,2025-09-05
C0021,Customer 0021,Male,54,Dhaka,2024-01-17
C0022,Customer 0022,Female,33,Khulna,2024-06-30
C0023,Customer 0023,Male,21,Chattogram,2025-06-19
C0024,Customer 0024,Female,41,Sylhet,2025-06-24
C0025,Customer 0025,Male,51,Gazipur,2024-06-19
C0026,Customer 0026,Female,47,Barishal,2025-02-12
C0027,Customer 0027,Female,35,Rangpur,2025-01-12
C0028,Customer 0028,Female,36,Rajshahi,2024-07-06
C0029,Customer 0029,Male,48,Rangpur,2024-08-17
C0030,Customer 0030,Male,36,Mymensingh,2024-04-28
C0031,Customer 0031,Male,36,Dhaka,2024-06-04
C0032,Customer 0032,Female,39,Barishal,2025-11-17
C0033,Customer 0033,Female,41,Mymensingh,2025-04-09
