account_id,customer_id,account_type,status,opening_date
A0001,C0001,Personal,Active,2025-06-08
A0002,C0002,Personal,Active,2024-11-08
A0003,C0003,Merchant,Active,2024-02-18
A0004,C0004,Personal,Active,2024-04-27
A0005,C0005,Personal,Active,2024-02-23
A0006,C0006,Personal,Active,2025-10-11
A0007,C0007,Personal,Active,2025-07-18
A0008,C0008,Personal,Active,2024-02-13
A0009,C0009,Personal,Active,2024-02-22
A0010,C0010,Personal,Active,2025-08-08
A0011,C0011,Personal,Active,2025-07-11
A0012,C0012,Personal,Active,2025-06-08
A0013,C0013,Personal,Active,2025-11-07
A0014,C0014,Personal,Active,2024-04-11
A0015,C0015,Personal,Active,2025-02-01
A0016,C0016,Personal,Active,2024-05-17
A0017,C0017,Personal,Active,2025-11-05
A0018,C0018,Personal,Inactive,2025-01-21
A0019,C0019,Personal,Inactive,2024-04-20
A0020,C0020,Merchant,Active,2025-09-05
A0021,C0021,Personal,Active,2024-01-17
A0022,C0022,Personal,Active,2024-06-30
A0023,C0023,Personal,Active,2025-06-19
A0024,C0024,Personal,Active,2025-06-24
A0025,C0025,Personal,Active,2024-06-19
A0026,C0026,Personal,Active,2025-02-12
A0027,C0027,Personal,Suspended,2025-01-12
A0028,C0028,Personal,Active,2024-07-06
A0029,C0029,Personal,Active,2024-08-17
A0030,C0030,Personal,Active,2024-04-28
A0031,C0031,Personal,Inactive,2024-06-04
A0032,C0032,Personal,Active,2025-11-17
A0033,C0033,Personal,Active,2025-04-09
A0034,C0034,Personal,Inactive,2024-04-13
A0035,C0035,Personal,Active,2025-08-26
A0036,C0036,Personal,Active,2025-11-28
A0037,C0037,Personal,Active,2025-05-16
A0038,C0038,Personal,Active,2025-11-23
A0039,C0039,Personal,Active,2025-11-12
A0040,C0040,Personal,Active,2025-11-29
A0041,C0041,Personal,Inactive,2024-06-23
A0042,C0042,Personal,Suspended,2025-11-04
A0043,C0043,Personal,Active,2025-02-24
A0044,C0044,Merchant,Active,2024-05-13
A0045,C0045,Personal,Active,2025-01-25
A0046,C0046,Merchant,Active,2025-05-15
A0047,C0047,Merchant,Active,2025-10-26
A0048,C0048,Personal,Active,2024-02-02
A0049,C0049,Personal,Active,2024-02-24
A0050,C0050,Personal,Active,2025-06-02
A0051,C0051,Personal,Inactive,2025-09-29
A0052,C0052,Personal,Active,2024-01-12
A0053,C0053,Personal,Active,2025-06-11
A0054,C0054,Personal,Active,2025-12-20
