agent_id,agent_name,city,region,join_date
AG001,Agent Store 001,Rangpur,Rangpur,2025-02-18
AG002,Agent Store 002,Rajshahi,Rajshahi,2023-02-02
AG003,Agent Store 003,Mymensingh,Mymensingh,2023-02-17
AG004,Agent Store 004,Sylhet,Sylhet,2024-05-17
AG005,Agent Store 005,Rangpur,Rangpur,2024-02-11
AG006,Agent Store 006,Gazipur,Dhaka,2024-07-27
AG007,Agent Store 007,Khulna,Khulna,2024-12-28
AG008,Agent Store 008,Rangpur,Rangpur,2025-03-15
AG009,Agent Store 009,Mymensingh,Mymensingh,2023-04-09
AG010,Agent Store 010,Sylhet,Sylhet,2024-11-14
AG011,Agent Store 011,Rajshahi,Rajshahi,2025-05-21
AG012,Agent Store 012,Mymensingh,Mymensingh,2024-12-26
AG013,Agent Store 013,Mymensingh,Mymensingh,2024-06-30
AG014,Agent Store 014,Khulna,Khulna,2025-01-08
AG015,Agent Store 015,Barishal,Barishal,2024-09-04
AG016,Agent Store 016,Sylhet,Sylhet,2024-04-06
AG017,Agent Store 017,Chattogram,Chattogram,2024-10-04
AG018,Agent Store 018,Mymensingh,Mymensingh,2025-02-07
AG019,Agent Store 019,Barishal,Barishal,2023-01-05
AG020,Agent Store 020,Chattogram,Chattogram,2023-08-06
AG021,Agent Store 021,Sylhet,Sylhet,2024-05-17
AG022,Agent Store 022,Dhaka,Dhaka,2025-02-05
AG023,Agent Store 023,Gazipur,Dhaka,2024-02-02
AG024,Agent Store 024,Barishal,Barishal,2025-05-20
AG025,Agent Store 025,Cumilla,Chattogram,2025-03-05
AG026,Agent Store 026,Dhaka,Dhaka,2024-01-28
AG027,Agent Store 027,Gazipur,Dhaka,2023-07-26
AG028,Agent Store 028,Khulna,Khulna,2023-01-15
AG029,Agent Store 029,Rangpur,Rangpur,2025-05-07
AG030,Agent Store 030,Rajshahi,Rajshahi,2024-07-07
AG031,Agent Store 031,Cumilla,Chattogram,2025-06-10
AG032,Agent Store 032,Khulna,Khulna,2024-04-05
AG033,Agent Store 033,Sylhet,Sylhet,2024-11-21
AG034,Agent Store 034,Khulna,Khulna,2024-07-28
AG035,Agent Store 035,Rangpur,Rangpur,2025-05-13
AG036,Agent Store 036,Sylhet,Sylhet,2025-01-12
AG037,Agent Store 037,Cumilla,Chattogram,2023-08-29
AG038,Agent Store 038,Rangpur,Rangpur,2024-07-17
AG039,Agent Store 039,Chattogram,Chattogram,2023-04-06
AG040,Agent Store 040,Rajshahi,Rajshahi,2025-06-18
AG041,Agent Store 041,Cumilla,Chattogram,2025-01-03
AG042,Agent Store 042,Chattogram,Chattogram,2024-04-29
AG043,Agent Store 043,Gazipur,Dhaka,2024-02-11
AG044,Agent Store 044,Cumilla,Chattogram,2023-08-19
AG045,Agent Store 045,Gazipur,Dhaka,2025-01-18
AG046,Agent Store 046,Sylhet,Sylhet,2024-10-16
AG047,Agent Store 047,Chattogram,Chattogram,2023-06-20
AG048,Agent Store 048,Rajshahi,Rajshahi,2024-06-24
AG049,Agent Store 049,Rangpur,Rangpur,2023-02-05
AG050,Agent Store 050,Mymensingh,Mymensingh,2024-06-08
AG051,Agent Store 051,Khulna,Khulna,2023-06-09
AG052,Agent Store 052,Dhaka,Dhaka,2025-04-18
AG053,Agent Store 053,Rajshahi,Rajshahi,2024-11-29
AG054,Agent Store 054,Chattogram,Chattogram,2023-08-31
AG055,Agent Store 055,Mymensingh,Mymensingh,2023-03-27
AG056,Agent Store 056,Rajshahi,Rajshahi,2025-03-06
AG057,Agent Store 057,Chattogram,Chattogram,2024-07-31
AG058,Agent Store 058,Barishal,Barishal,2024-11-12
AG059,Agent Store 059,Barishal,Barishal,2024-07-10
AG060,Agent Store 060,Gazipur,Dhaka,2024-07-27
AG061,Agent Store 061,Rajshahi,Rajshahi,2024-10-07
AG062,Agent Store 062,Barishal,Barishal,2025-03-06
AG063,Agent Store 063,Chattogram,Chattogram,2023-01-28
AG064,Agent Store 064,Gazipur,Dhaka,2024-09-11
AG065,Agent Store 065,Chattogram,Chattogram,2024-07-09
AG066,Agent Store 066,Gazipur,Dhaka,2023-12-06
AG067,Agent Store 067,Rajshahi,Rajshahi,2025-03-08
AG068,Agent Store 068,Mymensingh,Mymensingh,2023-11-27
AG069,Agent Store 069,Rangpur,Rangpur,2024-10-01
AG070,Agent Store 070,Cumilla,Chattogram,2024-05-20
AG071,Agent Store 071,Mymensingh,Mymensingh,2023-12-14
AG072,Agent Store 072,Sylhet,Sylhet,2024-04-17
AG073,Agent Store 073,Chattogram,Chattogram,2023-08-19
AG074,Agent Store 074,Sylhet,Sylhet,2023-07-09
AG075,Agent Store 075,Mymensingh,Mymensingh,2023-08-13
AG076,Agent Store 076,Gazipur,Dhaka,2024-01-20
AG077,Agent Store 077,Cumilla,Chattogram,2024-01-12
AG078,Agent Store 078,Cumilla,Chattogram,2023-10-10
AG079,Agent Store 079,Dhaka,Dhaka,2024-09-24
AG080,Agent Store 080,Cumilla,Chattogram,2024-09-19
