transaction_id,customer_id,agent_id,type_id,amount,transaction_date,transaction_time,status,channel,fee
T000001,C0214,AG030,TT05,1640.0,2025-07-16,00:24:00,Success,Agent,8.2
T000002,C0934,AG018,TT01,1940.0,2025-06-07,06:44:00,Success,Agent,0.0
T000003,C0704,AG098,TT01,4430.0,2025-07-23,04:36:00,Success,App,22.15
T000004,C0507,AG026,TT01,4680.0,2025-07-15,04:59:00,Success,Agent,46.8
T000005,C0350,AG100,TT02,1680.0,2025-08-04,08:10:00,Failed,App,16.8
T000006,C0015,AG083,TT04,5760.0,2025-10-12,22:43:00,Success,App,28.8
T000007,C0804,AG064,TT04,5910.0,2025-07-15,03:35:00,Success,App,0.0
T000008,C0581,AG068,TT03,370.0,2025-11-03,00:23:00,Success,Agent,0.0
T000009,C0753,AG091,TT05,990.0,2025-06-01,19:47:00,Success,App,4.95
T000010,C0452,AG055,TT02,790.0,2025-01-14,07:36:00,Success,App,0.0
T000011,C0090,AG067,TT01,580.0,2025-11-21,00:41:00,Success,App,8.7
T000012,C0171,AG044,TT01,670.0,2025-05-26,09:18:00,Success,App,10.05
T000013,C0275,AG059,TT04,9940.0,2025-02-26,06:26:00,Success,Agent,0.0
T000014,C0590,AG012,TT03,680.0,2025-07-30,05:42:00,Success,USSD,10.2
T000015,C0347,AG036,TT03,940.0,2025-09-25,02:51:00,Success,App,4.7
T000016,C0120,AG002,TT02,4310.0,2025-07-29,09:01:00,Success,App,43.1
T000017,C0166,AG042,TT02,440.0,2025-01-17,06:17:00,Success,App,0.0
T000018,C0282,AG034,TT05,1830.0,2025-10-13,07:32:00,Success,App,18.3
T000019,C0618,AG031,TT01,2710.0,2025-12-10,01:01:00,Success,App,0.0
T000020,C0215,AG069,TT04,8630.0,2025-07-22,07:52:00,Success,App,86.3
T000021,C0362,AG020,TT02,2540.0,2025-04-09,09:29:00,Success,App,25.4
T000022,C0498,AG038,TT01,1690.0,2025-10-06,21:09:00,Success,Agent,0.0
T000023,C0945,AG075,TT03,2000.0,2025-07-28,13:32:00,Success,Agent,10.0
T000024,C0317,AG095,TT02,300.0,2025-05-09,04:04:00,Success,Agent,1.5
T000025,C0834,AG089,TT03,940.0,2025-12-01,12:45:00,Success,Agent,9.4
T000026,C0502,AG004,TT03,6190.0,2025-10-15,09:40:00,Success,App,30.95
T000027,C0205,AG085,TT03,690.0,2025-09-09,20:34:00,Success,App,0.0
T000028,C0652,AG062,TT04,4200.0,2025-09-22,22:23:00,Success,App,21.0
T000029,C0741,AG001,TT03,540.0,2025-09-28,19:17:00,Success,USSD,5.4
T000030,C0360,AG042,TT02,5870.0,2025-07-07,11:11:00,Success,Agent,29.35
T000031,C0804,AG051,TT03,770.0,2025-08-02,09:50:00,Success,Agent,0.0
T000032,C0963,AG037,TT03,610.0,2025-10-10,00:07:00,Success,Agent,0.0
T000033,C0836,AG043,TT01,2520.0,2025-07-30,20:00:00,Success,App,0.0
T000034,C0927,AG092,TT05,1950.0,2025-12-31,06:30:00,Success,Agent,9.75
T000035,C0809,AG062,TT03,4960.0,2025-03-17,09:25:00,Success,USSD,0.0
T000036,C0668,AG051,TT04,8380.0,2025-05-28,16:34:00,Success,App,0.0
T000037,C0488,AG053,TT05,1000.0,2025-11-17,04:16:00,Success,App,5.0
T000038,C0715,AG001,TT02,3340.0,2025-08-01,15:28:00,Success,Agent,33.4
T000039,C0943,AG064,TT03,720.0,2025-04-19,00:26:00,Pending,Agent,3.6
T000040,C0440,AG016,TT02,1440.0,2025-05-09,09:19:00,Failed,Agent,0.0
T000041,C0747,AG002,TT02,7260.0,2025-01-10,12:39:00,Success,App,0.0
T000042,C0976,AG002,TT05,500.0,2025-02-16,22:46:00,Success,Agent,2.5
T000043,C0742,AG058,TT04,5710.0,2025-11-11,16:50:00,Success,App,85.65
T000044,C0285,AG017,TT01,570.0,2025-04-06,09:27:00,Success,App,0.0
T000045,C0015,AG086,TT03,3670.0,2025-04-13,18:42:00,Success,App,18.35
T000046,C0341,AG080,TT05,470.0,2025-12-08,09:45:00,Success,Agent,2.35
T000047,C0142,AG077,TT03,3970.0,2025-05-26,17:11:00,Success,App,39.7
T000048,C0656,AG007,TT04,6090.0,2025-01-27,07:13:00,Success,App,0.0
T000049,C0475,AG062,TT04,6260.0,2025-08-08,15:04:00,Success,App,31.3
T000050,C0284,AG017,TT02,4110.0,2025-01-18,19:23:00,Success,USSD,0.0
T000051,C0718,AG021,TT02,480.0,2025-06-16,02:30:00,Success,App,0.0
T000052,C0036,AG095,TT03,4790.0,2025-03-23,11:53:00,Success,USSD,47.9
T000053,C0394,AG079,TT02,1750.0,2025-03-13,05:31:00,Success,App,0.0
T000054,C0687,AG064,TT03,3220.0,2025-11-06,16:16:00,Failed,Agent,16.1
T000055,C0182,AG043,TT03,1370.0,2025-09-11,16:24:00,Success,USSD,13.7
T000056,C0393,AG087,TT04,6200.0,2025-06-11,15:07:00,Success,Agent,62.0
T000057,C0220,AG053,TT02,870.0,2025-11-23,15:48:00,Success,App,4.35
T000058,C0782,AG041,TT01,520.0,2025-02-07,22:44:00,Success,App,2.6
T000059,C0382,AG026,TT02,3500.0,2025-07-20,22:42:00,Success,App,17.5
T000060,C0448,AG094,TT03,1360.0,2025-07-19,07:21:00,Success,Agent,0.0
T000061,C0083,AG075,TT02,390.0,2025-09-12,22:02:00,Success,App,1.95
T000062,C0057,AG026,TT03,1710.0,2025-06-28,15:42:00,Success,App,0.0
T000063,C0589,AG070,TT01,1530.0,2025-02-04,20:30:00,Success,USSD,0.0
T000064,C0891,AG067,TT03,1270.0,2025-03-23,22:46:00,Success,USSD,12.7
T000065,C0952,AG089,TT02,3120.0,2025-08-08,17:37:00,Success,USSD,31.2
T000066,C0179,AG079,TT03,620.0,2025-06-07,22:32:00,Success,App,6.2
T000067,C0951,AG059,TT02,1820.0,2025-01-04,21:43:00,Success,Agent,0.0
T000068,C0869,AG021,TT02,1520.0,2025-06-16,23:12:00,Success,App,0.0
T000069,C0807,AG042,TT05,900.0,2025-07-23,12:48:00,Success,App,13.5
T000070,C0820,AG070,TT01,1860.0,2025-07-13,06:51:00,Success,App,9.3
T000071,C0319,AG023,TT03,810.0,2025-08-23,11:32:00,Success,App,8.1
T000072,C0317,AG057,TT05,60.0,2025-07-25,22:49:00,Success,App,0.0
T000073,C0323,AG053,TT03,710.0,2025-05-30,21:49:00,Success,Agent,0.0
T000074,C0839,AG076,TT05,1930.0,2025-06-08,16:57:00,Success,Agent,28.95
T000075,C0028,AG027,TT01,15450.0,2025-10-06,12:28:00,Success,Agent,0.0
T000076,C0014,AG062,TT02,2980.0,2025-10-31,05:09:00,Success,Agent,14.9
T000077,C0246,AG079,TT02,4280.0,2025-06-15,15:10:00,Success,App,0.0
T000078,C0677,AG072,TT01,2920.0,2025-11-07,13:47:00,Success,App,43.8
T000079,C0624,AG025,TT02,5490.0,2025-03-09,06:01:00,Success,Agent,54.9
T000080,C0692,AG043,TT02,2850.0,2025-03-29,17:12:00,Success,App,0.0
T000081,C0534,AG048,TT03,330.0,2025-08-05,18:14:00,Success,Agent,1.65
T000082,C0223,AG061,TT05,1660.0,2025-01-01,06:45:00,Success,Agent,8.3
T000083,C0257,AG019,TT01,920.0,2025-05-15,06:41:00,Success,App,0.0
T000084,C0751,AG035,TT02,8390.0,2025-07-04,16:49:00,Success,App,0.0
T000085,C0716,AG021,TT02,2570.0,2025-12-17,01:08:00,Success,Agent,12.85
T000086,C0984,AG018,TT02,10400.0,2025-05-20,13:51:00,Success,App,0.0
T000087,C0222,AG093,TT04,2030.0,2025-04-16,10:43:00,Success,App,0.0
T000088,C0054,AG091,TT02,2290.0,2025-05-13,08:18:00,Success,USSD,11.45
T000089,C0686,AG040,TT01,1140.0,2025-04-18,06:35:00,Success,Agent,0.0
